Name,Nationality,"Launch 
Mission","Landin
Mission",Launched,Landed,Duration,,,,
,,,,,,Days,hh:mm,,,
Yuri Onufrienko,Russian,Soyuz TM-23,Soyuz TM-23,,,,,,,
Yury Usachov,Russian,Soyuz TM-23,Soyuz TM-23,,,,,,,
Valery Korzun,Russian,Soyuz TM-24,Soyuz TM-24,,,,,,,
Aleksandr Kaleri,Russian,Soyuz TM-24,Soyuz TM-24,,,,,,,
Claudie André-Deshays,French,Soyuz TM-24,Soyuz TM-23,,,,,,,
Vasili Tsibliyev,Russian,Soyuz TM-25,Soyuz TM-25,,,,,,,
Aleksandr Lazutkin,Russian,Soyuz TM-25,Soyuz TM-25,,,,,,,
Reinhold Ewald,German,Soyuz TM-25,Soyuz TM-24,,,,,,,
Anatoly Solovyev,Russian,Soyuz TM-26,Soyuz TM-26,,,,,,,
Pavel Vinogradov,Russian,Soyuz TM-26,Soyuz TM-26,,,,,,,
Talgat Musabayev,Russian,Soyuz TM-27,Soyuz TM-27,,,,,,,
Nikolai Budarin,Russian,Soyuz TM-27,Soyuz TM-27,,,,,,,
Léopold Eyharts,French,Soyuz TM-27,Soyuz TM-26,,,,,,,
Gennady I. Padalka,Russian,Soyuz TM-28,Soyuz TM-28,,,,,,,
Sergei Avdeyev,Russian,Soyuz TM-28,Soyuz TM-29,,,,,,,
Yuri Baturin,Russian,Soyuz TM-28,Soyuz TM-27,,,,,,,
Viktor Afanasyev,Russian,Soyuz TM-29,Soyuz TM-29,,,,,,,
Jean-Pierre Haigneré,French,Soyuz TM-29,Soyuz TM-29,,,,,,,
Ivan Bella,Slovak,Soyuz TM-29,Soyuz TM-28,,,,,,,
Sergei Zalyotin,Russian,Soyuz TM-30,Soyuz TM-30,,,,,,,
Aleksandr Kaleri,Russian,Soyuz TM-30,Soyuz TM-30,,,,,,,
Yuri Gidzenko,Russian,Soyuz TM-31,STS-102,,,,,,,
Sergei Krikalev,Russian,Soyuz TM-31,STS-102,,,,,,,
William Shepherd,US,Soyuz TM-31,STS-102,,,,,,,
Talgat Musabayev,Kazakh,Soyuz TM-32,Soyuz TM-31,,,,,,,
Yuri Baturin,Russian,Soyuz TM-32,Soyuz TM-31,,,,,,,
Dennis Tito,US,Soyuz TM-32,Soyuz TM-31,,,,,,,
Viktor Afanasyev,Russian,Soyuz TM-33,Soyuz TM-32,,,,,,,
Claudie Haigneré,French,Soyuz TM-33,Soyuz TM-32,,,,,,,
Konstantin Kozeyev,Russian,Soyuz TM-33,Soyuz TM-32,,,,,,,
Yuri Gidzenko,Russian,Soyuz TM-34,Soyuz TM-33,,,,,,,
Roberto Vittori,Italian,Soyuz TM-34,Soyuz TM-33,,,,,,,
Mark Shuttleworth,South African,Soyuz TM-34,Soyuz TM-33,,,,,,,
