Name,Nationality,"Launch 
Mission","Landin
Mission",Launched,Landed,Duration,,,,
,,,,,,Days,hh:mm,,,
Michael Collins,US,Apollo 11,Apollo 11,16/07/1969 13:32,24/07/1969 16:50,8,03:18,,,
Neil Armstrong,US,Apollo 11,Apollo 11,16/07/1969 13:32,24/07/1969 16:50,8,03:18,,,
Georgy Shonin,Soviet,Soyuz 6,Soyuz 6,11/10/1969 11:10,16/10/1969 09:52,4,22:42,,,
Valeri Kubasov,Soviet,Soyuz 6,Soyuz 6,11/10/1969 11:10,16/10/1969 09:52,4,22:42,,,
Anatoly Filipchenko,Soviet,Soyuz 7,Soyuz 7,12/10/1969 10:44,17/10/1969 09:24,4,22:40,,,
Vladislav Volkov,Soviet,Soyuz 7,Soyuz 7,12/10/1969 10:44,17/10/1969 09:24,4,22:40,,,
Viktor Gorbatko,Soviet,Soyuz 7,Soyuz 7,12/10/1969 10:44,17/10/1969 09:24,4,22:40,,,
Vladimir Shatalov,Soviet,Soyuz 8,Soyuz 8,13/10/1969 10:19,18/10/1969 09:09,4,22:50,,,
Aleksei Yeliseyev,Soviet,Soyuz 8,Soyuz 8,13/10/1969 10:19,18/10/1969 09:09,4,22:50,,,
Charles Conrad Jr,US,Apollo 12,Apollo 12,14/11/1969 16:22,24/11/1969 20:58,10,04:36,,,
Richard Gordon Jr,US,Apollo 12,Apollo 12,14/11/1969 16:22,24/11/1969 20:58,10,04:36,,,
Alan Bean,US,Apollo 12,Apollo 12,14/11/1969 16:22,24/11/1969 20:58,10,04:36,,,
Jim Lovell,US,Apollo 13,Apollo 13,11/04/1970 19:13,17/04/1970 18:07,5,22:54,,,
John Swigert Jr.,US,Apollo 13,Apollo 13,11/04/1970 19:13,17/04/1970 18:07,5,22:54,,,
Fred Haise Jr.,US,Apollo 13,Apollo 13,11/04/1970 19:13,17/04/1970 18:07,5,22:54,,,
Andriyan Nikolayev,Soviet,Soyuz 9,Soyuz 9,01/06/1970 19:00,19/06/1970 11:58,17,16:58,,,
Vitaly Sevastyanov,Soviet,Soyuz 9,Soyuz 9,01/06/1970 19:00,19/06/1970 11:58,17,16:58,,,
Alan Sheppard,US,Apollo 14,Apollo 14,31/01/1971 21:03,09/02/1971 21:04,9,00:01,,,
Stuart Roosa,US,Apollo 14,Apollo 14,31/01/1971 21:03,09/02/1971 21:04,9,00:01,,,
Edgar Mitchell,US,Apollo 14,Apollo 14,31/01/1971 21:03,09/02/1971 21:04,9,00:01,,,
Vladimir Shatalov,Soviet,Soyuz 10,Soyuz 10,22/04/1971 23:54,24/04/1971 23:39,1,23:45,,,
Aleksei Yeliseyev,Soviet,Soyuz 10,Soyuz 10,22/04/1971 23:54,24/04/1971 23:39,1,23:45,,,
Nikolai Rukavishnikov,Soviet,Soyuz 10,Soyuz 10,22/04/1971 23:54,24/04/1971 23:39,1,23:45,,,
Georgy Dobrovolsky,Soviet,Soyuz 11,Soyuz 11,06/06/1971 04:55,29/06/1971 23:16,23,18:21,,,
Vladislav Volkov,Soviet,Soyuz 11,Soyuz 11,06/06/1971 04:55,29/06/1971 23:16,23,18:21,,,
Viktor Patsayev,Soviet,Soyuz 11,Soyuz 11,06/06/1971 04:55,29/06/1971 23:16,23,18:21,,,
David Scott,US,Apollo 15,Apollo 15,26/07/1971 13:34,07/08/1971 20:45,12,07:11,,,
Alfred Worden,US,Apollo 15,Apollo 15,26/07/1971 13:34,07/08/1971 20:45,12,07:11,,,
James Irwin,US,Apollo 15,Apollo 15,26/07/1971 13:34,07/08/1971 20:45,12,07:11,,,
John Young,US,Apollo 16,Apollo 16,16/04/1972 17:54,27/04/1972 19:45,11,01:51,,,
Thomas Mattingly,US,Apollo 16,Apollo 16,16/04/1972 17:54,27/04/1972 19:45,11,01:51,,,
Charles Duke Jr,US,Apollo 16,Apollo 16,16/04/1972 17:54,27/04/1972 19:45,11,01:51,,,
Gene Cernan,US,Apollo 17,Apollo 17,07/12/1972 05:33,19/12/1972 19:24,12,13:51,,,
Ronald Evans,US,Apollo 17,Apollo 17,07/12/1972 05:33,19/12/1972 19:24,12,13:51,,,
Harrison Schmitt,US,Apollo 17,Apollo 17,07/12/1972 05:33,19/12/1972 19:24,12,13:51,,,
Charles Conrad Jr,US,Skylab 2,Skylab 2,25/05/1973 13:00,22/06/1973 13:49,28,00:49,,,
Joseph Kerwin,US,Skylab 2,Skylab 2,25/05/1973 13:00,22/06/1973 13:49,28,00:49,,,
Paul Weitz,US,Skylab 2,Skylab 2,25/05/1973 13:00,22/06/1973 13:49,28,00:49,,,
Alan Bean,US,Skylab 3,Skylab 3,28/07/1973 11:10,25/09/1973 22:19,59,11:09,,,
Owen Garriott,US,Skylab 3,Skylab 3,28/07/1973 11:10,25/09/1973 22:19,59,11:09,,,
Jack Lousma,US,Skylab 3,Skylab 3,28/07/1973 11:10,25/09/1973 22:19,59,11:09,,,
Vasily Lazarev,Soviet,Soyuz 12,Soyuz 12,27/09/1973 12:18,29/09/1973 11:33,1,23:15,,,
Oleg Grigoryevich Makarov,Soviet,Soyuz 12,Soyuz 12,27/09/1973 12:18,29/09/1973 11:33,1,23:15,,,
Gerald Carr,US,Skylab 4,Skylab 4,16/11/1973 14:01,08/02/1974 15:16,84,01:15,,,
Edward Gibson,US,Skylab 4,Skylab 4,16/11/1973 14:01,08/02/1974 15:16,84,01:15,,,
William Pogue,US,Skylab 4,Skylab 4,16/11/1973 14:01,08/02/1974 15:16,84,01:15,,,
Pyotr Klimuk,Soviet,Soyuz 13,Soyuz 13,18/12/1973 11:55,26/12/1973 08:50,7,20:55,,,
Valentin Lebedev,Soviet,Soyuz 13,Soyuz 13,18/12/1973 11:55,26/12/1973 08:50,7,20:55,,,
Pavel Popovich,Soviet,Soyuz 14,Soyuz 14,03/07/1974 18:51,19/07/1974 12:21,15,17:30,,,
Yuri Artyukhin,Soviet,Soyuz 14,Soyuz 14,03/07/1974 18:51,19/07/1974 12:21,15,17:30,,,
