Name,Organisation,Launch Site,Launch Time,Landing Time,,,,,,,,,
STS-107,NASA,,16/01/2003 15:39:00,01/02/2003 13:59:32,15.93092593,15,22.34222222,,,,,,
STS-114,NASA,,26/07/2005 14:39:00,09/08/2005 12:11:22,13.89747685,13,21.53944444,,,,,,
STS-121,NASA,,04/07/2006 18:37:55,17/07/2006 13:14:43,12.77555556,12,18.61333333,,,,,,
STS-115,NASA,,09/09/2006 15:14:55,21/09/2006 10:21:30,11.79623843,11,19.10972222,,,,,,
STS-116,NASA,,10/12/2006 01:47:35,22/12/2006 22:32:00,12.86417824,12,20.74027778,,,,,,
STS-117,NASA,,08/06/2007 23:38:04,22/07/2007 19:49:38,43.84136574,43,20.19277778,,,,,,
STS-118,NASA,,08/08/2007 22:36:42,21/08/2007 16:33:20,12.74766204,12,17.94388889,,,,,,
STS-120,NASA,,23/10/2007 15:38:19,07/11/2007 18:01:18,15.09929398,15,2.383055556,,,,,,
STS-122,NASA,,07/02/2008 19:45:00,20/02/2008 14:07:10,12.76539352,12,18.36944444,,,,,,
STS-123,NASA,,11/03/2008 06:38:14,27/03/2008 00:40:41,15.75170139,15,18.04083333,,,,,,
STS-124,NASA,,31/05/2008 21:02:12,14/06/2008 15:15:29,13.75922454,13,18.22138889,,,,,,
STS-126,NASA,,15/11/2008 00:55:00,30/11/2008 21:25:00,15.85416667,15,20.5,,,,,,
STS-119,NASA,,15/03/2009 23:43:00,28/03/2009 19:13:00,12.8125,12,19.5,,,,,,
STS-125,NASA,,11/05/2009 18:01:56,24/05/2009 15:39:05,12.90079861,12,21.61916667,,,,,,
STS-127,NASA,,15/07/2009 22:03:00,31/07/2009 14:48:00,15.69791667,15,16.75,,,,,,
STS-128,NASA,,29/08/2009 03:59:00,12/09/2009 00:53:00,13.87083333,13,20.9,,,,,,
STS-129,NASA,,16/11/2009 19:28:09,27/11/2009 14:44:22,10.80292824,10,19.27027778,,,,,,
STS-130,NASA,,08/02/2010 09:14:00,22/02/2010 03:22:10,13.7556713,13,18.13611111,,,,,,
STS-131,NASA,,05/04/2010 10:21:22,20/04/2010 13:08:35,15.11612269,15,2.786944444,,,,,,
STS-132,NASA,,14/05/2010 18:20:00,26/05/2010 12:49:18,11.77034722,11,18.48833333,,,,,,
STS-133,NASA,,24/02/2011 21:53:24,09/03/2011 16:58:14,12.79502315,12,19.08055556,,,,,,
STS-134,NASA,,16/05/2011 12:56:28,01/06/2011 06:35:00,15.73509259,15,17.64222222,,,,,,
STS-135,NASA,,08/07/2011 15:29:00,21/07/2011 09:57:00,12.76944444,12,18.46666667,,,,,,
Soyuz MS-19,Roskosmos,,05/10/2021 08:55:02,<now>,#VALUE!,#VALUE!,#VALUE!,,,,,,
Shenzhou 13,CNSA,,15/10/2021 16:23:56,<now>,#VALUE!,#VALUE!,#VALUE!,,,,,,
SpaceX DM-2,SpaceX,,30/05/2020 19:22:45,02/08/2020 18:48:06,63.9759375,63,23.4225,,,,,,
SpaceX Crew-1,SpaceX,,16/11/2020 00:27:17,02/05/2021 06:56:33,167.2703241,167,6.487777778,,,,,,
SpaceX Crew-2,SpaceX,,23/04/2021 09:49:02,<now>,#VALUE!,#VALUE!,#VALUE!,,,,,,
Inspiration 4,SpaceX,,16/09/2021 00:02:56,18/09/2021 23:06:49,2.961030093,2,23.06472222,,,,,,
SpaceX Crew-3,SpaceX,,30/10/2021 00:00:00,,-44499,-44499,0,,,,,,
